ID,Nombre del Caso,Caso de Uso,Prioridad,Precondiciones,Datos de Entrada,Pasos de Ejecución,Resultado Esperado,Resultado Obtenido,Estado
CP-001,Ingresar URL válida de YouTube,Ingresar URL de YouTube,Alta,"Sistema iniciado, Conexión a internet activa",URL válida: https://www.youtube.com/watch?v=dQw4w9WgXcQ,1. Abrir la aplicación | 2. Localizar el campo de entrada de URL | 3. Ingresar la URL válida | 4. Hacer clic en el botón Procesar,"El sistema acepta la URL, Inicia el proceso de extracción de subtítulos, Muestra mensaje de Procesando...",,Completado
CP-002,Ingresar URL inválida,Ingresar URL de YouTube,Alta,Sistema iniciado,URL inválida: https://invalid-url.com,1. Abrir la aplicación | 2. Ingresar una URL no válida (no de YouTube) | 3. Hacer clic en Procesar,"El sistema rechaza la URL, Muestra mensaje de error: URL inválida, No inicia el procesamiento",,Completado
CP-003,Video sin subtítulos disponibles,Extraer/Transcribir Subtítulos,Alta,"URL válida ingresada, Video de YouTube sin subtítulos",URL de video sin subtítulos,1. Ingresar URL de video sin subtítulos | 2. Iniciar procesamiento,"Sistema detecta falta de subtítulos, Muestra mensaje: Subtítulos no disponibles, Detiene el proceso",,Completado
CP-004,Generar resumen exitosamente,Generar Resumen,Alta,"URL válida procesada, Subtítulos extraídos correctamente, API de OpenAI disponible",URL válida con subtítulos,1. Procesar video con subtítulos | 2. Seleccionar opción Generar Resumen | 3. Esperar respuesta,"Sistema genera resumen del contenido, Resumen es coherente y relevante, Se muestra en pantalla correctamente",,Completado
CP-005,Generar flashcards exitosamente,Generar Flashcards,Alta,"URL válida procesada, Subtítulos extraídos correctamente, API de OpenAI disponible",URL válida con subtítulos,1. Procesar video con subtítulos | 2. Seleccionar opción Generar Flashcards | 3. Esperar respuesta,"Sistema genera flashcards (pregunta/respuesta), Flashcards son relevantes al contenido, Se muestran correctamente en pantalla",,Completado
CP-006,Generar prompts para deep dive,Generar Prompts para deep dive,Media,"URL válida procesada, Subtítulos extraídos correctamente, API de OpenAI disponible",URL válida con subtítulos,1. Procesar video con subtítulos | 2. Seleccionar opción Generar Prompts | 3. Esperar respuesta,"Sistema genera prompts para profundizar, Prompts son específicos del tema, Se muestran correctamente",,Completado
CP-007,Visualizar resultados,Visualizar Resultados,Alta,"Procesamiento completado exitosamente, Al menos un tipo de contenido generado",N/A,1. Completar generación de contenido | 2. Observar la interfaz de resultados,"Todos los resultados se muestran claramente, La interfaz es legible y organizada, No hay errores de visualización",,Completado
CP-008,Error en API de OpenAI,Procesar con OpenAI,Alta,"Subtítulos extraídos, API key inválida o servicio no disponible",API key incorrecta o sin conexión,1. Configurar API key inválida | 2. Intentar generar contenido,"Sistema detecta el error, Muestra mensaje claro de error, No se rompe la aplicación",,Completado
CP-009,Procesamiento paralelo de resumen flashcards y prompts,Generar Resumen + Flashcards + Prompts,Media,"URL válida procesada, Subtítulos disponibles, API funcional",URL válida,1. Procesar video | 2. Solicitar generación de los 3 tipos simultáneamente | 3. Observar el proceso,"Los tres procesos se ejecutan, Todos completan exitosamente, Los resultados se muestran juntos",,Completado
CP-010,Video muy largo (más de 1 hora),Extraer/Transcribir Subtítulos,Media,Sistema iniciado,URL de video de YouTube de más de 1 hora,1. Ingresar URL de video largo | 2. Iniciar procesamiento | 3. Observar comportamiento,"Sistema procesa correctamente, Tiempo de respuesta aceptable, No se produce timeout",,Completado
CP-011,Cambiar idioma de interfaz (ES/EN),Configuración de idioma,Media,Aplicación abierta,N/A,1. Localizar el interruptor ES/EN en la parte superior | 2. Hacer clic para cambiar idioma | 3. Observar cambios en UI,Todos los textos de la interfaz cambian al idioma seleccionado,Todos los textos de la interfaz cambian al idioma seleccionado,Completado
CP-012,Indicador de carga visible,Visualizar Resultados,Alta,Solicitud enviada,N/A,1. Ingresar URL | 2. Hacer clic en Submit | 3. Observar la UI durante el procesamiento,Se muestra spinner/indicador de progreso hasta recibir la respuesta,Se muestra spinner/indicador de progreso hasta recibir la respuesta,Completado
CP-013,Mostrar error de backend,Ver Mensajes de Error,Alta,Sistema iniciado,N/A,1. Forzar un error del backend (simular fallo) | 2. Enviar solicitud | 3. Observar UI,La aplicación muestra mensaje de error sin romperse y permite reintentar,La aplicación muestra mensaje de error sin romperse y permite reintentar,Completado
CP-014,Limpiar resultados con botón Clear,Procesar nuevo video,Media,Hay resultados mostrados en pantalla,N/A,1. Tener video procesado con resultados | 2. Hacer clic en botón "Clear" | 3. Verificar estado,"Se limpian todos los resultados, Se regresa al formulario de entrada, Se puede ingresar nueva URL","Se limpian todos los resultados, Se regresa al formulario de entrada, Se puede ingresar nueva URL",Completado
ID,Nombre del Caso,Caso de Uso,Prioridad,Precondiciones,Datos de Entrada,Pasos de Ejecución,Resultado Esperado,Resultado Obtenido,Estado
CP-015,Copiar prompt al portapapeles,Copiar contenido generado,Media,Prompt generado y visible en pantalla,N/A,1. Generar prompts de un video | 2. Ir a pestaña "Prompts" | 3. Hacer clic en botón "Copy Full Prompt" | 4. Verificar feedback visual | 5. Pegar en otra aplicación,"El contenido se copia al portapapeles, Aparece ícono de check (✓), Mensaje cambia a Copied!, Se puede pegar en otras aplicaciones",,Completado
CP-016,Limpiar resultados con botón de eliminar,Procesar nuevo video,Alta,Video procesado con resultados mostrados,N/A,1. Tener video procesado con resultados | 2. Localizar botón de basura (trash icon) | 3. Hacer clic en el botón | 4. Verificar estado de la aplicación,"Se limpian todos los resultados (resumen, flashcards, prompts), Se elimina el reproductor de video, Se regresa al formulario inicial, Se puede ingresar nueva URL",,Completado